,artist,song,genres,year,key,mode,duration,bpm
0,Kendrick Lamar,Alright ,Hip Hop,2015,G,major,3:39,110BPM
1,Beyoncé,Formation,Hip Hop,2016,C♯/D♭,major,3:26,61BPM
2,Grimes,Oblivion,Pop,2012,D,major,4:11,156BPM
3,Lorde,Royals,Pop,2013,G,major,3:10,85BPM
4,Daft Punk feat. Pharrell Williams,Get Lucky,Dance,2013,,,,
5,Lana Del Rey,Video Games,Pop,2011,F♯/G♭,minor,4:42,122BPM
6,M83,Midnight City,Pop,2011,B,minor,4:01,105BPM
7,Future Islands,Seasons (Waiting on You),Pop,2014,A♯/B♭,major,3:46,140BPM
8,Tame Impala,Let It Happen,Pop,2015,C♯/D♭,minor,7:49,125BPM
9,Mitski,Your Best American Girl,Rock,2016,G,major,3:32,77BPM
10,Childish Gambino,This Is America,Hip Hop,2018,F,major,3:46,120BPM
11,M.I.A.,Bad Girls,Hip Hop,2012,C♯/D♭,major,3:48,143BPM
12,Sharon Van Etten,Seventeen,Pop,2019,F,major,4:26,127BPM
13,FKA twigs,Cellophane,Pop,2019,D,major,3:24,107BPM
14,Cardi B,Bodak Yellow,Hip Hop,2017,B,minor,3:44,125BPM
15,Kendrick Lamar,HUMBLE.,Hip Hop,2017,,,,
16,Kendrick Lamar,King Kunta ,Hip Hop,2015,B,minor,3:55,107BPM
17,Courtney Barnett,Pedestrian at Best,Rock,2015,B,major,3:51,136BPM
18,Vampire Weekend,Hannah Hunt,Pop,2013,E,major,3:58,208BPM
19,"Tyler, the Creator",Yonkers,Hip Hop,2011,B,major,4:09,79BPM
20,Carly Rae Jepsen,Run Away With Me ,Pop,2015,C♯/D♭,major,4:11,119BPM
21,Perfume Genius,Queen,Pop,2014,C♯/D♭,major,3:51,132BPM
22,David Bowie,Lazarus,Rock,2015,A,minor,6:24,130BPM
23,Big Thief,Not,Rock,2019,B,major,6:07,140BPM
24,Kendrick Lamar,DNA.,Hip Hop,2017,,,,
25,Arctic Monkeys,Do I Wanna Know?,Rock,2013,F,major,4:32,85BPM
26,The National,Bloodbuzz Ohio,Rock,2010,A,major,4:36,157BPM
27,Angel Olsen,Shut Up Kiss Me,Rock,2016,G,major,3:22,116BPM
28,David Bowie,Blackstar,Rock,2015,F♯/G♭,major,9:58,98BPM
29,Lil Nas X feat. Billy Ray Cyrus,Old Town Road (Remix),Hip Hop,2019,,,,
30,Clairo,Bags,Pop,2019,C♯/D♭,major,4:21,105BPM
31,Caribou,Can't Do Without You,Dance,2014,,,,
32,Arcade Fire,Sprawl II (Mountains Beyond Mountains),Pop,2010,G♯/A♭,major,5:26,100BPM
33,Japandroids,The House That Heaven Built,Rock,2012,C,major,4:48,161BPM
34,Sia,Chandelier,Pop,2014,C♯/D♭,major,3:36,117BPM
35,Alvvays,"Archie, Marry Me",Pop,2014,G,major,3:17,117BPM
36,Jay Z & Kanye West,Niggas in Paris,Hip Hop,2011,,,,
37,"Kanye West feat. Jay-Z, Rick Ross, Nicki Minaj & Bon Iver",Monster,Hip Hop,2010,,,,
38,SOPHIE,Bipp,Dance,2013,D,major,3:44,83BPM
39,Future,Mask Off / Mask Off (Remix feat. Kendrick Lamar),Hip Hop,2017,,,,
40,Taylor Swift,Blank Space,Pop,2014,F,major,3:52,96BPM
41,Jamie xx feat. Romy,Loud Places,Dance,2015,,,,
42,The War on Drugs,Red Eyes,Rock,2013,A♯/B♭,major,4:59,162BPM
43,The Black Keys,Lonely Boy,Rock,2011,D,major,3:14,166BPM
